,roles
711,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
712,Plumbers
713,Podiatrists
714,"Poets, Lyricists and Creative Writers"
715,Police Detectives
716,Police Identification and Records Officers
717,Police Patrol Officers
718,"Police, Fire, and Ambulance Dispatchers"
719,"Political Science Teachers, Postsecondary"
720,Political Scientists
721,Postal Service Clerks
722,Postal Service Mail Carriers
723,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
724,Postmasters and Mail Superintendents
725,"Potters, Manufacturing"
726,"Pourers and Casters, Metal"
727,Power Distributors and Dispatchers
728,Power Plant Operators
729,Precious Metal Workers
730,Precision Agriculture Technicians
731,Prepress Technicians and Workers
732,"Preschool Teachers, Except Special Education"
733,"Pressers, Textile, Garment, and Related Materials"
734,Preventive Medicine Physicians
735,Print Binding and Finishing Workers
736,Printing Press Operators
737,Private Detectives and Investigators
738,Probation Officers and Correctional Treatment Specialists
739,Procurement Clerks
740,Producers
741,Product Safety Engineers
742,"Production, Planning, and Expediting Clerks"
743,Program Directors
744,Proofreaders and Copy Markers
745,"Property, Real Estate, and Community Association Managers"
746,Prosthodontists
747,Psychiatric Aides
748,Psychiatric Technicians
749,Psychiatrists
750,"Psychology Teachers, Postsecondary"
751,Public Address System and Other Announcers
752,Public Relations Specialists
753,Public Relations and Fundraising Managers
754,"Pump Operators, Except Wellhead Pumpers"
755,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
756,Purchasing Managers
757,Quality Control Analysts
758,Quality Control Systems Managers
759,Radiation Therapists
760,Radio Frequency Identification Device Specialists
761,Radio Mechanics
762,Radio Operators
763,Radio and Television Announcers
764,"Radio, Cellular, and Tower Equipment Installers and Repairers"
765,Radiologic Technicians
766,Radiologic Technologists
767,Radiologists
768,Rail Car Repairers
769,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
770,Rail-Track Laying and Maintenance Equipment Operators
771,"Railroad Brake, Signal, and Switch Operators"
772,Railroad Conductors and Yardmasters
773,Range Managers
774,Real Estate Brokers
775,Real Estate Sales Agents
776,Receptionists and Information Clerks
777,Recreation Workers
778,"Recreation and Fitness Studies Teachers, Postsecondary"
779,Recreational Therapists
780,Recreational Vehicle Service Technicians
781,Recycling Coordinators
782,Recycling and Reclamation Workers
783,"Refractory Materials Repairers, Except Brickmasons"
784,Refrigeration Mechanics and Installers
785,Refuse and Recyclable Material Collectors
786,Registered Nurses
787,Regulatory Affairs Managers
788,Regulatory Affairs Specialists
789,Rehabilitation Counselors
790,Reinforcing Iron and Rebar Workers
791,Remote Sensing Scientists and Technologists
792,Remote Sensing Technicians
793,Reporters and Correspondents
794,Reservation and Transportation Ticket Agents and Travel Clerks
795,Residential Advisors
796,Respiratory Therapists
797,Respiratory Therapy Technicians
798,Retail Loss Prevention Specialists
799,Retail Salespersons
800,Riggers
801,Risk Management Specialists
802,Robotics Engineers
803,Robotics Technicians
804,"Rock Splitters, Quarry"
805,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
806,"Roof Bolters, Mining"
807,Roofers
808,"Rotary Drill Operators, Oil and Gas"
809,Rough Carpenters
810,"Roustabouts, Oil and Gas"
811,Sailors and Marine Oilers
812,"Sales Agents, Financial Services"
813,"Sales Agents, Securities and Commodities"
814,Sales Engineers
815,Sales Managers
816,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
817,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
